year,occ_mean_exp,ind_mean_exp,occ_high_share_p80,ind_high_share_p80,occ_coverage,ind_coverage
2010,0.3680687892913968,0.13511983982154235,0.2383788576317883,0.19205394157602437,0.9417487565145151,0.9671285912799336
2011,0.2870455260554859,0.112747623862552,0.19700547955785067,0.17017434459989467,0.9441149879435332,0.9694217684864792
2012,0.36233710070120734,0.17791675468433638,0.1916159428244064,0.21158450195650763,0.9071199096725879,0.9563443176302738
2013,0.282648564000116,0.17947051063552938,0.18007741273706912,0.2020713315370214,0.911713257527202,0.971485190640701
2014,0.2590220701459306,0.16929173505460862,0.1902344405504876,0.20699312277065704,0.914269576779027,0.9694163938565313
2015,0.23826864061763434,0.20549413485261958,0.21688740802136183,0.20264845147585758,0.9130474563123635,0.9694311440093418
2016,0.3113598580120118,0.24757558152412276,0.2106225508472269,0.21942107950929268,0.9246948878335646,0.9766767083061367
2017,0.3082527939361394,0.21226842325169717,0.2068892092604424,0.19829660106046235,0.9256902791176858,0.9776823013998017
2018,0.3754838158823476,0.2388101824724199,0.2169224775694737,0.22439429515745918,0.9391948877632827,0.9751497972106756
2019,0.284366813926632,0.20756066399135809,0.21671588344300263,0.19739081922588092,0.9307306467638998,0.9915467912820178
2020,0.3113464544971208,0.2125965083627913,0.19453859637271045,0.21845372780934347,0.9304734334056534,0.9962520788379009
2021,0.295407665943687,0.2209543743276843,0.21473855688270077,0.21166671232329695,0.9019223546949247,0.9956107820220814
2022,0.40611093113078417,0.3278420688332561,0.22366845579930486,0.23700120036762806,0.8992532724811139,0.8845819376251025
2023,0.268167311500092,0.2517116535507302,0.1867073443910843,0.20229442042561877,0.8980707281069373,0.8704213126660866
2024,0.12150406389784492,0.26238582575575375,0.16461856609852474,0.21720939440346335,0.9112351878791448,0.8622757356724255
