adve_time_year,Clerical support workers,Craft and related trades workers,Elementary occupations,Managers,"Plant and machine operators, and assemblers",Professionals,Service and sales workers,"Skilled agricultural, forestry and fishery workers",Technicians and associate professionals
2010,0.0,0.0,0.0,0.0,0.0,0.0007775229184239085,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0014061627885610824,0.0,0.0,0.0006326569087623237
2012,0.0,0.0,0.0014513542126533183,0.0,0.0,0.003629272986218764,0.0,0.0,0.0013089831931930996
2013,0.0,0.00210198005654783,0.028047307856847472,0.0,0.0,0.0018017910777677684,0.0,0.0,0.0005166501507235462
2014,0.0,0.0,0.0,0.01350488063789161,0.009889459784241179,0.000476274492968617,0.0,0.0,0.0048544931461852
2015,0.003148241058768367,0.0,0.0,0.012238399564332963,0.010348193733064127,0.004719857022355322,0.0,0.0,0.0004399890178741138
2016,0.0,0.0,0.0,0.01041732210798317,0.0,0.0048741653522872104,0.0,0.0,0.001528303700927515
2017,0.0,0.001736657723221481,0.0,0.012539854884357063,0.0,0.02461575334041012,0.0,0.0,0.0037050418109525664
2018,0.0,0.0,0.0,0.005697976964595483,0.002491429168475072,0.014286356019792744,0.0,0.0,0.0028711994555051168
2019,0.0006976968575282086,0.0018065815514223041,0.0,0.0014734825714064841,0.0,0.02460246978717299,0.0,0.0,0.005647627246521289
2020,0.0,0.0,0.0,0.0,0.0,0.01782538210375843,6.800401272637975e-05,0.0,0.004851319536516545
2021,0.0,0.0,0.0,0.052166225478350654,0.0,0.029548693757142093,0.0,0.0,0.002952457568096405
2022,0.0,0.0004878599521671791,0.0,0.02516026084946271,0.0,0.032921540459717846,0.0,0.0,0.003930512885388535
2023,0.0012596222631486823,0.0,0.0,0.024669507229505342,0.0,0.02010480646411454,0.0,0.0,0.001625265998147924
2024,0.0,0.0009755807664363822,0.0,0.0025043116367485696,0.0,0.0252975648035981,0.0,0.0,0.013553731575287909
