adve_time_year,Accommodation and food service activities,Activities of extraterritorial organisations,Activities of households as employers,Administrative and support service activities,"Agriculture, forestry, fishing and mining","Arts, entertainment and recreation",Construction,Education,"Electricity, gas, water supply; sewerage, waste management",Financial and insurance activities,Human health and social work activities,Information and communication,Manufacturing,Other service activities,"Professional, scientific and technical activities",Public administration and defence; compulsory social security,Real estate activities,Transportation and storage,Wholesale and retail trade; repair of motor vehicles
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015103186204923082,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004452450815610146,0.0016805991381563857,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00754628927149563,0.0,0.0,0.003095155591131206,0.0,0.0024119131603158295,0.0,0.0026712869734415996,0.0003066110838005805,0.0,0.0,0.0003107989119993964
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001127863337830914,0.0,0.0,0.0010051888114698182,0.0,0.0008622543556314735,0.0,0.0,0.0,0.0,0.011713354414259088,0.004411231004012188
2014,0.0,0.0,0.0,0.0,0.0,0.24544765403964358,0.0,0.0031266044485982153,0.0,0.0,0.007281931052505337,0.0,0.001617862967221318,0.0,0.0,0.0,0.0,0.0,0.0010858510896116916
2015,0.0,0.013415588645846736,0.0,0.0,0.0,0.0,0.0,0.006627858406851326,0.0,0.007472412918990647,0.0,0.01356884205462881,0.0014869014509472105,0.0,0.0007775883788483675,0.0,0.0,0.0,0.00410500853068264
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007911160271388898,0.001896610368832284,0.0,0.0028104048003032957,0.0,0.005291931258386197,0.0,0.0,0.0,0.0029228179624881134
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09131328316435947,0.006591410880787989,0.007849350017814479,0.005136204084322948,0.006611221613588352,0.010710378355830238,0.0,0.012227149773255546,0.0,0.0,0.0,0.0036032904566565822
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025621016924208114,0.0,0.016079333379346604,0.003946849845100116,0.010434902015234322,0.004650916933067763,0.0,0.01806896185059203,0.007833345879742317,0.0,0.0,0.0019928032976656495
2019,0.0,0.012355658458690221,0.0,0.0011055027828959741,0.0,0.0,0.0,0.01376551041217127,0.0,0.00667838114377153,0.007579784566705334,0.009819701720775474,0.015586361165674861,0.013317789300050814,0.028375116710396987,0.0019030260045331808,0.0,0.0,0.0019263670007414846
2020,0.0,0.0,0.0,0.009611227858453334,0.0,0.0,0.0,0.013236059088253142,0.0,0.006283121982897283,0.005270888925376598,0.012755062254093515,0.005758515508502134,0.0,0.018208816373295994,0.004895415177055657,0.0,0.006129345183719879,0.005291203615192569
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012440749071992172,0.01924120331670137,0.02424385270105299,0.005575996518714768,0.02111490409726544,0.011382854163095724,0.0,0.02229467609870698,0.020589354482442233,0.061882472076431806,0.018972825061105852,0.013320003610398328
2022,0.0,0.0,0.0008504571105104053,0.0,0.0,0.0,0.004388231431683059,0.02348072778154691,0.0,0.04207043629400148,0.004541781892998192,0.02472602301910488,0.010611144271883356,0.0,0.029449046403987763,0.010377547288887106,0.015552227037720287,0.010760103100441306,0.023231700466055157
2023,0.0,0.0,0.014958889872003821,0.010271863209885969,0.0,0.0,0.0039917109581234424,0.042670486753873214,0.005540634347843412,0.014755133778751432,0.001969509989736197,0.024569328318467788,0.004452316612110303,0.0,0.01696848992157575,0.019463615383776323,0.0,0.0,0.0
2024,0.0,0.0,0.01067172304500931,0.0,0.0,0.0,0.009367435147422111,0.018769609972734743,0.031022621693969753,0.030109094146311965,0.0006106215819555202,0.014353562554036315,0.0018645586953268223,0.0,0.04605543277690323,0.06211555755570338,0.0,0.016379060714530196,0.0003445568416733585
